Advance_Purchase,Nightly_Rate,Distribution_Channel,Purchased_Rate_Code,Temperature_Max,Temperature_Min,Precipitation,Snowfall,Wind_Speed
11,429,CRO/Hotel,Rate 2,-8.97,30.02,8.66,4.23,50.59
13,429,CRO/Hotel,Rate 2,17.28,16.66,21.69,6.55,61.15
15,299,CRO/Hotel,Rate 2,-2.24,1.95,19.93,2.4,1.81
9,399,GDS,Rate 2,9.88,2.46,30.79,17.81,87.21
6,439,GDS,Rate 2,-0.65,21.3,31.75,11.87,93.21
0,385.66,CRO/Hotel,Rate 2,5.6,29.86,2.27,13.58,56.51
2,599,GDS,Rate 2,6.4,29.35,18.73,0,69.67
5,349,WEB,Rate 2,-4.45,23.99,31.29,0,92.25
9,299,CRO/Hotel,Rate 2,19.09,17.1,25.16,0,70.72
22,369,CRO/Hotel,Rate 2,13.25,-10.79,42.82,10.74,15.25
6,439,GDS,Rate 2,18.18,-6.92,32.93,11.74,57.63
3,399,WEB,Rate 2,16.84,29.93,8.15,0,60.67
6,439,GDS,Rate 2,7.94,15.32,3.53,0,42.41
4,369,GDS,Rate 2,17.66,-14.54,32.12,2.55,73.64
8,399,GDS,Rate 2,-7.35,-9.93,1.33,0,93.44
4,385.66,GDS,Rate 2,-4.12,18.18,29.29,0,92.56
2,399,GDS,Rate 2,-8.64,-14.75,47.01,0,45.08
1,379,WEB,Rate 2,-0.24,-6.96,28.77,0,11.32
9,399,WEB,Rate 2,1.66,12.44,19.41,0,98.48
1,385.66,WEB,Rate 2,-1.86,19.59,32.16,19.73,83.89
7,399,WEB,Rate 2,14.86,17.6,22.91,0,12.47
4,279,WEB,Rate 2,0.7,-3.79,27.28,0,92.08
2,399,WEB,Rate 2,-1.57,20.61,47.07,2.04,86.99
5,399,GDS,Rate 2,6.28,-3.14,19.31,3.06,51.88
4,279,WEB,Rate 2,-5.77,1.27,48.06,4.92,59.13
4,399,GDS,Rate 2,14.07,22.32,45.27,0,39.9
21,539,CRO/Hotel,Rate 2,-7.76,17.48,9.79,0,5.48
6,329,WEB,Rate 2,19.61,27.46,3.47,5.7,33.52
6,319,CRO/Hotel,Rate 2,13.17,17.88,5.04,3.47,80.29
6,439,GDS,Rate 2,-4.04,13.42,0.91,17.94,0.46
4,359,CRO/Hotel,Rate 2,-9.83,-10.32,4.72,0,33.35
9,299,CRO/Hotel,Rate 2,14.46,3.39,34.15,0,39.82
8,399,GDS,Rate 2,11.21,-1.74,3.56,0,53.74
38,299,CRO/Hotel,Rate 2,11.87,-2.8,15.95,19.65,91.99
2,399,WEB,Rate 2,13.14,33.65,42.24,2.24,34.63
38,243,WEB,Rate 1,-7.78,4.65,1.16,7.96,34.7
0,299,CRO/Hotel,Rate 2,0.75,29.6,40.72,19.39,73.75
32,309,WEB,Rate 8,-6.52,16.56,14.09,0,45.22
34,270,CRO/Hotel,Rate 1,15.89,24.74,5.91,0,22.46
36,405,WEB,Rate 1,8.7,10.13,34.84,0,45.24
31,396,CRO/Hotel,Rate 1,-0.07,13.85,31.45,0,14.09
3,329,GDS,Rate 2,-8.09,9.63,43.87,13.37,17.64
34,270,CRO/Hotel,Rate 1,-0.67,-5.24,36.75,0,49.84
0,299,CRO/Hotel,Rate 2,-0.24,21.12,40.17,0,41.89
23,399,CRO/Hotel,Rate 2,11.89,-0.96,14.1,0,91.48
34,270,CRO/Hotel,Rate 1,9.13,-13.78,8.87,5.6,36.24
0,329,CRO/Hotel,Rate 2,16.62,17.27,37.53,15.39,58.06
37,299,CRO/Hotel,Rate 2,4.17,-6.14,40.34,3.74,63.23
2,329,WEB,Rate 2,-6.41,32.02,49.53,0,1.31
0,289,CRO/Hotel,Rate 2,11.4,32.7,20.63,0,66.35
2,309,CRO/Hotel,Rate 2,12.82,30.74,18.6,10.15,17.8
1,329,CRO/Hotel,Rate 2,6.84,3.51,38.82,0,96.11
27,399,CRO/Hotel,Rate 2,13.13,-14.23,17.04,0,14.87
13,469,CRO/Hotel,Rate 2,4.81,31.42,46.54,12.21,41.46
3,299,WEB,Rate 2,5.68,6.41,42.92,5.77,8.53
3,329,GDS,Rate 2,2.83,33.33,21.45,0,99.69
0,299,CRO/Hotel,Rate 2,-9.24,33.18,37.54,3.09,50.22
58,297,WEB,Rate 1,-6.76,27.65,37.73,0,59.54
25,349,CRO/Hotel,Rate 2,-9.06,-0.28,5.16,10.65,6.71
3,329,GDS,Rate 2,9.09,4.25,45.13,0,75
2,329,GDS,Rate 2,-0.57,27.56,25.26,6.73,20.99
27,399,CRO/Hotel,Rate 2,5.26,0.85,41.32,2.69,89.81
36,579,CRO/Hotel,Rate 2,17.23,-6.53,16,0,20.51
27,399,CRO/Hotel,Rate 2,-2.52,12.84,44.78,19.8,19.07
27,399,CRO/Hotel,Rate 2,2.31,31.81,19.46,6.45,3.65
13,299,GDS,Rate 2,12.67,19.8,0.54,16.2,47.21
2,329,WEB,Rate 2,-3.14,13.5,45.27,0,56.48
11,429,WEB,Rate 2,-7.69,-10.14,4.56,0,6.57
35,405,WEB,Rate 1,-1.31,15.75,15.97,0,77.55
12,299,WEB,Rate 2,-5.16,34.5,47.5,11.91,45.33
45,359,CRO/Hotel,Rate 2,17.89,-8,47.53,9.43,52.44
32,405,WEB,Rate 1,14.24,10.92,28.67,8.24,44.08
13,469,WEB,Rate 2,9,28.87,31.59,6.98,40.08
0,329,CRO/Hotel,Rate 2,16.14,22.04,22.42,18.59,55.96
8,429,CRO/Hotel,Rate 2,14.11,19.85,14.66,16.61,15.52
23,469,WEB,Rate 2,-4.4,20.12,16.43,19.3,18.19
0,329,CRO/Hotel,Rate 2,16.78,2.97,33.63,0,86.18
0,369,CRO/Hotel,Rate 2,6.18,-0.32,37.62,14.62,94.61
29,449,CRO/Hotel,Rate 2,14.22,25.47,39.58,18.77,37.33
8,429,CRO/Hotel,Rate 2,16.88,25.51,39.48,0,27.07
25,299,CRO/Hotel,Rate 2,-0.46,28.35,4.56,1.33,64.4
25,299,WEB,Rate 2,-6.7,30.66,24.72,0,40.87
19,369,CRO/Hotel,Rate 2,-3.16,10.57,2.88,0,2.54
29,449,WEB,Rate 2,2.81,10.08,27.48,0,15.62
6,319,WEB,Rate 2,14.54,24.91,22.08,2.8,71.6
10,399,CRO/Hotel,Rate 2,15.82,17.5,44.39,0,65.89
51,299,CRO/Hotel,Rate 2,-9.79,20.1,17.55,4.03,2.71
11,289,WEB,Rate 2,5.32,24.79,5.85,3.27,22.2
0,329,CRO/Hotel,Rate 2,2.52,29.5,7.15,3.29,23.11
38,297,WEB,Rate 1,-3.34,1.9,38.08,0,67.19
41,529,CRO/Hotel,Rate 2,-6.4,3.78,30.91,13.3,1.97
40,369,WEB,Rate 2,0.13,-10.3,5.06,10.46,10.41
36,349,CRO/Hotel,Rate 2,18.29,13.91,4.21,0,79.99
27,359,CRO/Hotel,Rate 2,-0.3,-13.2,35.05,17.54,17.85
36,349,CRO/Hotel,Rate 2,5.56,8.28,3.64,7.85,65.27
20,333,CRO/Hotel,Rate 1,11.09,12.13,41.09,16.33,23.82
20,333,CRO/Hotel,Rate 1,0.91,-0.67,35.31,8.78,9.94
27,315,WEB,Rate 1,19.15,14.54,4.07,7.54,24.32
7,359,WEB,Rate 2,18.87,-13.47,4.24,9.25,72.23
19,469,WEB,Rate 2,-2.45,-13.13,49.33,0,85.57
0,329,CRO/Hotel,Rate 2,4.92,26.13,18.71,14.95,83.02
19,429,WEB,Rate 2,-0.97,3.01,18.53,10.05,39.72
16,429,WEB,Rate 2,-1.45,-8.65,40.64,0,66.81
5,339,CRO/Hotel,Rate 2,-8.89,11.11,47.36,17.99,20.5
38,499,CRO/Hotel,Rate 2,8.29,23.5,49.3,0,29.31
43,399,CRO/Hotel,Rate 2,5.08,-4.21,37.67,10.87,89.63
32,216,WEB,Rate 1,-8.46,16.14,18.81,18.13,1.3
37,324,WEB,Rate 1,-1.64,-10.73,4.18,12.48,8.55
102,289.67,WEB,Rate 1,38.29,11.06,30.57,0,57.12
348,73.32,WEB,Rate 1,11.62,33.8,33.92,7.09,74.54
270,201.47,WEB,Rate 2,5.59,-8.72,15.88,0,37.9
106,110.49,CRO/Hotel,Rate 1,15.31,-14.15,42.41,0,30.28
71,78.52,GDS,Rate 1,11.98,23.51,47.36,0,45.93
188,495.48,GDS,Rate 2,-4.72,25.36,44.24,0,81.8
20,195.06,CRO/Hotel,Rate 2,22.04,-8.99,36.95,0,92.99
102,414.44,GDS,Rate 1,0.8,-1.72,13.87,2.07,54.51
121,164.59,GDS,Rate 1,20.98,-14.12,14.08,0,66.15
214,356.68,GDS,Rate 2,22.51,-0.33,48.17,0,90.33
330,392.1,CRO/Hotel,Rate 8,-2.4,23.66,0.51,0,9.85
87,318.04,CRO/Hotel,Rate 2,-6.93,10.9,35.8,0,23.21
99,262.21,GDS,Rate 8,29.04,2.4,35.31,0,70.89
359,235.33,GDS,Rate 1,12.99,3.59,31.13,0,82.37
151,206.99,GDS,Rate 1,-7.09,-14.93,49.51,0,85.7
130,468.29,WEB,Rate 8,39.74,-0.01,15.59,0,41.51
149,423.78,WEB,Rate 2,-7.11,17.32,17,0,8.93
308,484.26,WEB,Rate 1,24.75,33.71,3.95,0,43.78
257,105.93,CRO/Hotel,Rate 8,39.18,27.35,22.14,0,23.07
343,378.89,GDS,Rate 2,1.96,-13.82,13.05,0,29.12
293,472.25,CRO/Hotel,Rate 8,-2.89,29.93,17.17,0,77.23
191,131.55,CRO/Hotel,Rate 2,-3.93,24.16,41.73,8.46,7.55
276,79.92,CRO/Hotel,Rate 2,5.16,24.02,46.77,0,82.76
160,383.5,GDS,Rate 2,-4.95,7.9,9.29,0,42.77
313,308.51,WEB,Rate 2,24.61,4.9,18.63,0,59.61
21,428.82,GDS,Rate 8,-6.89,0.15,46.43,12.87,8.97
252,112.9,GDS,Rate 8,15.47,-11.72,3.09,0,33.74
235,407.87,CRO/Hotel,Rate 8,39.83,-3.59,4.62,0,8.97
344,140.73,CRO/Hotel,Rate 8,30.7,-2.67,8.14,0,96.15
48,123.65,CRO/Hotel,Rate 8,20.76,9.2,29.76,18.47,80.73
58,123.92,WEB,Rate 2,5.31,22.37,7.52,16.43,45.96
169,416.56,WEB,Rate 1,21.19,8.69,48.4,7.08,22.36
187,349.34,WEB,Rate 1,16.35,-12.11,22.34,0,93.35
270,285.38,GDS,Rate 8,11.3,32.89,25.08,0,34.46
189,211.47,CRO/Hotel,Rate 8,-3.46,32.14,12.33,0,16.1
174,444.74,GDS,Rate 1,34.33,24.26,23.55,13.65,56.32
50,226.6,WEB,Rate 2,12.49,34.57,33.1,0,94.38
363,417.47,CRO/Hotel,Rate 8,-0.27,12.22,37.56,0,0.38
54,247.61,WEB,Rate 2,8.39,33.14,37.69,0,23.81
243,219.62,CRO/Hotel,Rate 1,10.71,-11.22,28.89,0,93.84
319,258.21,CRO/Hotel,Rate 1,31.38,3.28,45.22,0,17.11
130,185.62,GDS,Rate 8,26.68,-3.73,40.87,11.39,11.32
306,386.42,GDS,Rate 2,28.47,-5.21,37.85,16.65,57.02
134,276.22,WEB,Rate 8,-9.45,-7.96,2.78,0,86.18
20,154.5,GDS,Rate 1,10.81,16.12,0.34,0,47.71
328,454.81,GDS,Rate 2,14.07,24.07,10.62,13.84,99.46
166,222.75,GDS,Rate 8,-9.04,13.91,33.18,13.49,67.92
273,294.6,CRO/Hotel,Rate 8,2.99,-7.65,20.56,19.6,7.41
88,457.91,GDS,Rate 8,28.01,25.56,20.12,0,99.28
315,330.91,WEB,Rate 1,-3.14,16.8,44.23,0,40.79
13,102.6,CRO/Hotel,Rate 8,16.77,4.41,44.78,0,28.74
241,472.92,CRO/Hotel,Rate 2,0.76,18.71,45.46,0,55.79
264,332.47,GDS,Rate 8,-9.39,-2,15.69,0,30.43
345,200.71,CRO/Hotel,Rate 1,2.06,2.26,34.55,0,8.65
52,112.67,WEB,Rate 8,38.79,30.87,13.58,0,0.14
339,407.31,WEB,Rate 1,30.08,-0.47,9.53,0,44.96
91,329.03,CRO/Hotel,Rate 1,37.98,8.5,9.23,12.61,83.69
263,290.06,GDS,Rate 2,14.39,29.51,17.11,0,57.23
34,452.25,GDS,Rate 2,-4.51,20.39,21.5,0,99.92
205,404.87,CRO/Hotel,Rate 8,17.4,-11.89,41.55,0,28.68
80,118.25,WEB,Rate 1,12.72,-7.63,5.99,0,28.05
49,190.27,CRO/Hotel,Rate 1,32.22,-14.61,36.75,0,15.97
359,161.82,GDS,Rate 2,-5.1,16.55,26.57,0,16.41
1,384.78,GDS,Rate 2,14.41,7.38,14.4,0,28.52
53,65.09,CRO/Hotel,Rate 8,-2.5,-8.29,24.64,0,79.28
105,306.45,WEB,Rate 1,6.23,32.9,15,0,90.58
259,393.11,CRO/Hotel,Rate 2,26.87,11.48,29.8,0,97.51
309,444.54,WEB,Rate 8,13.8,-2.91,21.69,1.35,23.23
190,203.94,WEB,Rate 1,8.79,10.03,8.22,0,88.13
217,419.57,CRO/Hotel,Rate 1,9.72,18.98,5.83,0,32.83
43,99.78,CRO/Hotel,Rate 2,12.97,-11.19,27.33,12.66,11.28
161,430.9,WEB,Rate 8,29.25,-1.26,45.12,0,87
201,107.37,WEB,Rate 2,34.6,25.35,17.2,0,63.61
269,228.78,WEB,Rate 8,37.77,7.98,36.65,0,16.47
350,408.78,WEB,Rate 1,29.35,12.33,32.93,0,42.98
303,117.46,GDS,Rate 8,5.77,6.64,46.58,0,28.73
270,153.16,CRO/Hotel,Rate 8,24.41,-12.81,41.05,12.54,73.68
214,375.01,WEB,Rate 8,11.88,-6.71,28.33,0,45.34
251,374.02,CRO/Hotel,Rate 8,2.73,7.28,32.85,0,98.93
189,338.52,WEB,Rate 8,32.04,-4.54,44.92,0,5.47
295,362.28,CRO/Hotel,Rate 2,-8.08,-12.5,19.98,13.05,35.5
212,294.23,CRO/Hotel,Rate 8,35.09,27.18,16.34,8.1,48.19
207,163.31,WEB,Rate 8,13.07,34.06,0.54,0,50.31
236,205.56,WEB,Rate 1,21.86,24.66,41.33,0,31.59
337,131.72,CRO/Hotel,Rate 8,22.97,27.69,40.05,0,72.92
52,458.8,CRO/Hotel,Rate 1,34.76,-2.9,5.22,0,87.47
279,312.53,CRO/Hotel,Rate 2,21.83,33.03,28.84,0,93.87
216,230.38,GDS,Rate 2,20.7,-5.15,23.2,0,80.51
251,257.9,WEB,Rate 8,-6.67,32.57,5.94,0,85.06
187,476.28,GDS,Rate 2,15.92,34.74,49.03,0,55.05
40,119.01,GDS,Rate 8,-2.49,20.59,10.73,5.3,82.59
156,313.8,WEB,Rate 2,26.87,34.06,3.36,0,30.35
14,277.65,WEB,Rate 8,15.61,13.48,29.74,19.31,39.85
300,325.15,GDS,Rate 8,24.01,-2.02,36.94,0,31.69
64,58.15,WEB,Rate 1,-7.92,6.85,1.62,0,46.74
344,442.46,CRO/Hotel,Rate 1,-5.76,14.68,32.94,0,28.56
326,469.45,CRO/Hotel,Rate 1,25.82,-11.35,26.61,2.71,96.16
8,304.31,GDS,Rate 1,-6.4,16.12,5.16,0,31.28
343,363.49,GDS,Rate 8,-6.44,34.06,8.63,19.29,9.8
128,465.12,WEB,Rate 2,-9.39,-5.49,28.4,0,52.68
135,368.26,WEB,Rate 8,37.83,24.63,14.82,5.99,5.71
62,118.64,GDS,Rate 1,26.88,30.39,46.92,2,11.05
138,309.33,GDS,Rate 1,7.66,32.19,40.94,0,21.94
80,323.02,CRO/Hotel,Rate 2,4.83,33.01,49.18,16.32,46.44
162,240.86,CRO/Hotel,Rate 1,7.49,11.07,12.98,0,43.33
288,381.4,WEB,Rate 8,28.73,33.87,48.49,0,79.97
260,470.47,CRO/Hotel,Rate 8,23.07,22.87,21.56,6.84,73.95
230,466.51,WEB,Rate 8,-0.74,-6.92,17.38,0,42.63
40,252.88,WEB,Rate 8,-1.29,8.85,2.52,0,33.37
27,100.96,WEB,Rate 8,-5.08,20.92,2.64,0,31.65
134,493.18,CRO/Hotel,Rate 2,23.02,-2.63,34.6,3.33,77.4
200,427.5,GDS,Rate 8,28.22,17.03,22.9,0,5.21
327,106.1,GDS,Rate 1,3.25,18.33,11.33,16.42,1.28
267,464.38,CRO/Hotel,Rate 1,-8.95,-6.87,30.7,0,79.55
32,441.45,GDS,Rate 1,-5.89,13.25,12.64,0,47.71
47,283.48,WEB,Rate 1,38.39,23.58,28.88,0,13.09
61,316.07,GDS,Rate 2,4.77,9.94,17.96,0,23.56
215,229.55,CRO/Hotel,Rate 1,28.46,-14.39,41.18,0,93.25
292,74.64,GDS,Rate 2,21.23,-14.55,41.03,0,85.95
98,200.84,WEB,Rate 1,9.1,2.85,23.87,9.93,70.98
171,411.28,WEB,Rate 2,0.28,31.31,17.54,0,48.22
359,52.08,CRO/Hotel,Rate 2,-3.93,-3.57,18.13,0,52.03
213,200.07,CRO/Hotel,Rate 2,20.75,16.72,40.29,0,97.52
34,229.18,CRO/Hotel,Rate 1,28.73,-3.9,16.41,0,96.58
226,291.83,WEB,Rate 2,22.2,1.08,10.45,0,21.53
100,463.94,GDS,Rate 8,16.52,27.4,4.23,7.22,81.11
130,205.86,GDS,Rate 8,-7.9,21.44,23.33,0,19.72
256,206.13,CRO/Hotel,Rate 1,38.42,-10.23,24.11,1.41,21.35
4,381.88,GDS,Rate 8,29.94,6.44,42.05,0,67.61
217,253.5,GDS,Rate 8,4.64,-13.54,11.06,0,40.5
254,151.07,CRO/Hotel,Rate 8,39,9.04,19.05,0,93.15
358,253.6,CRO/Hotel,Rate 1,20.09,18.12,40.42,0,8.9
282,113.39,WEB,Rate 1,19.12,-9.07,41.18,0,51.15
206,129.37,WEB,Rate 8,27.4,-0.56,19.23,8.64,91.85
14,274.27,WEB,Rate 1,30.59,4.89,22.96,0,90.41
345,238.52,WEB,Rate 2,22.82,30.98,15.16,11.91,15.65
41,461.68,GDS,Rate 8,-3.6,34.66,46.63,0,36.66
178,213.08,GDS,Rate 1,6.91,-12.75,5.93,0,61.91
62,311.26,WEB,Rate 1,36.4,23.05,46.69,12.09,15.94
351,334.52,WEB,Rate 8,1.23,3.59,34.19,0,96.8
230,55.89,CRO/Hotel,Rate 1,8.61,4.62,26.58,0,91.47
240,348.59,GDS,Rate 8,11.6,22.71,1.63,0,16.7
51,130.12,GDS,Rate 1,11.97,30.92,23.78,0,12.12
95,482.48,WEB,Rate 2,20.65,32.55,20.39,0.33,8.54
221,116.9,GDS,Rate 8,37.15,13.86,8.06,17.47,90.94
230,236.58,CRO/Hotel,Rate 2,2.03,2.86,32.82,0,19.36
236,88.41,CRO/Hotel,Rate 8,-3.92,24.38,48.56,0,41.63
142,498.59,GDS,Rate 1,-0.13,-2.45,28.11,14.72,44.89
170,275.99,WEB,Rate 2,34.35,13.2,35.74,0,59.9
28,317.92,GDS,Rate 1,22.29,2.93,3.42,10.12,7.17
35,80.18,CRO/Hotel,Rate 8,4.3,17.83,20.88,0,22.68
12,387.48,WEB,Rate 8,30.8,-2.98,5.82,0,93.15
159,144.46,GDS,Rate 8,33.07,-5.42,30.64,0,90.84
326,454.12,WEB,Rate 8,32.33,30.91,46.92,0,78.13
186,142.31,WEB,Rate 8,35.95,-9.91,33.09,0,1.94
242,135.81,CRO/Hotel,Rate 2,2.61,10.3,3.84,15.25,32.7
85,66.45,WEB,Rate 8,27.75,-3.96,17.73,2.88,62.8
283,262.43,GDS,Rate 1,13.03,-13.05,27.53,0,27.52
65,304.18,WEB,Rate 2,32.1,-13.2,20.16,0,90.96
169,79.57,WEB,Rate 1,26.42,-6.24,41.68,0,63.39
44,398.99,GDS,Rate 8,28.82,28.34,40.73,0,7.19
61,253.98,CRO/Hotel,Rate 1,22.81,-0.88,30.59,0,90.9
133,285.98,CRO/Hotel,Rate 2,-1.13,32.52,18.67,0.15,95.78
283,248.34,GDS,Rate 2,17.25,14.08,12.77,0,7.77
27,230.34,GDS,Rate 2,39.23,6.83,5.29,0,53.24
107,301.84,CRO/Hotel,Rate 1,36.87,14,17.74,0,30.34
43,119.86,WEB,Rate 2,-7.84,10.83,20.66,0,39.28
339,131.87,GDS,Rate 1,-1.76,22.94,33.79,4.66,17.97
285,437.8,WEB,Rate 8,-3.41,-0.88,32.91,0,57.81
330,475.75,GDS,Rate 8,26.3,2.65,3.51,0,95.8
127,217.99,CRO/Hotel,Rate 1,30.89,29.7,19.76,0,50.31
347,171.84,WEB,Rate 2,0.68,32.32,9.09,4.73,8.29
230,339.8,WEB,Rate 1,15.29,29.63,7.84,12.56,62
189,233.93,GDS,Rate 1,32.04,5.97,41.37,0,34.02
224,61.42,WEB,Rate 1,26.64,24.02,2.1,0,85.59
282,120.27,GDS,Rate 8,17.11,8.82,20.96,0,43.47
120,372.19,CRO/Hotel,Rate 1,19.52,9.88,8.41,0,19.28
115,346.52,WEB,Rate 8,15.42,-4.77,43.97,0,19.11
232,62.19,GDS,Rate 1,4.88,14.56,27.85,0,76.88
258,149.89,WEB,Rate 8,18.25,-5.69,11.57,0,26.56
358,153.98,GDS,Rate 1,24.44,1.58,25.12,0,76.72
197,352.35,GDS,Rate 1,33.67,27.75,36.57,0,20.59
136,58.87,GDS,Rate 2,21.81,-4.65,47.91,0,32.17
317,96.85,CRO/Hotel,Rate 2,28.06,-11.44,11.02,19.91,46.55
164,409.96,WEB,Rate 1,-2,-11.55,44.31,9.6,94.32
224,130.35,CRO/Hotel,Rate 1,13.08,32.04,46.72,0,93.17
306,343.74,GDS,Rate 1,-9.53,10.35,45.82,0,20.69
233,157.18,GDS,Rate 1,2.33,5.47,31.77,0,35.82
171,94.75,CRO/Hotel,Rate 2,26.32,25.54,31.49,16.02,14.94
151,159.43,CRO/Hotel,Rate 8,39.59,26.79,20.16,0,51
314,375.02,WEB,Rate 1,-5.04,1.61,37.62,0,46.06
159,435.06,GDS,Rate 2,10.07,19.68,26.56,11.72,90.08
95,423.6,CRO/Hotel,Rate 1,30,23.56,33.87,0,93
232,228.73,GDS,Rate 1,0.2,17.73,21.42,0,38.36
179,350.64,GDS,Rate 8,17.75,-7.42,36.57,0,49.17
112,142.24,WEB,Rate 1,26.65,28.79,41.22,4.92,89.62
317,181.92,WEB,Rate 1,20.8,11.95,7.32,18.3,80.67
51,453.35,WEB,Rate 8,-0.6,-0.88,41.65,0,0.37
267,55.85,CRO/Hotel,Rate 8,7.77,6.26,27.01,19.05,32.01
294,88.48,GDS,Rate 8,29.19,-13.12,42.23,0,42.18
112,143.55,CRO/Hotel,Rate 8,17.71,-8.61,21.57,12.63,22.97
100,61.94,CRO/Hotel,Rate 2,-9.74,23.28,18.95,0,19.96
112,131.65,WEB,Rate 2,28.05,-15,45.75,2.59,3.78
80,312.37,GDS,Rate 2,-8.23,5.83,12.56,0,64.34
186,239.64,GDS,Rate 1,27.29,11.13,42.21,0,26.25
112,451.7,WEB,Rate 8,0.12,-12.27,24.2,12.46,5.23
1,417.85,GDS,Rate 8,37.9,33.65,25.7,0,23.1
129,203.82,WEB,Rate 2,8.4,-3.69,15.42,0,80.19
219,166.74,CRO/Hotel,Rate 1,6.35,0.21,28.65,0,85.15
53,220.86,CRO/Hotel,Rate 1,-2.56,0.2,16.26,0,48.31
342,315.63,WEB,Rate 1,5.28,-3.48,1.96,0,41.61
223,170.63,CRO/Hotel,Rate 2,33.83,-14.93,13.6,0,97.79
224,330.87,CRO/Hotel,Rate 1,39.82,21.47,0.32,0,20.06
125,234.24,WEB,Rate 1,8.42,33.34,48.92,8.38,21.54
129,298.42,CRO/Hotel,Rate 1,12.43,-3.79,48.29,10.35,29.19
52,246.26,GDS,Rate 8,26.1,18.15,19.76,0,17.28
171,182.51,CRO/Hotel,Rate 2,34.31,22.09,36.42,0,37.94
217,476.8,WEB,Rate 8,19.65,27.42,17.29,0,91.08
159,393.62,GDS,Rate 8,9.58,6.13,33.55,0,61.53
197,113.05,GDS,Rate 2,10.63,0.15,40.27,0,41.19
246,440.81,CRO/Hotel,Rate 8,24.78,1.26,47.34,0,93.44
323,269.34,GDS,Rate 1,-9.84,20.63,20.01,0,4.85
202,452.55,WEB,Rate 1,20.98,25.84,39.16,0,21.03
183,409.93,GDS,Rate 1,7.77,-5.92,13.3,0,56.59
122,241.35,CRO/Hotel,Rate 1,29.71,3.55,49.52,4.91,61.56
254,60.11,CRO/Hotel,Rate 2,-5.35,30.1,1.29,0,3.96
293,170.9,GDS,Rate 8,19.41,25.33,30.18,0,40.3
279,293.74,WEB,Rate 8,14.05,34.24,32.98,0,64.92
324,335.07,WEB,Rate 1,22.12,22.71,34.4,0,69.81
97,166.05,CRO/Hotel,Rate 1,-6.76,4.66,6.02,0,63.81
