Nightly_Rate,Arrival_Rate,Room_Type_encoded,Purchased_Room_Type_encoded
379.0,379.0,1,0
399.0,399.0,1,0
273.0,299.0,1,2
269.0,299.0,2,0
399.0,359.0,0,0
405.0,378.0,0,0
359.0,359.0,2,0
339.0,299.0,2,0
399.0,399.0,0,2
339.0,409.0,3,1
299.0,319.0,1,0
359.0,529.0,3,0
369.0,369.0,0,0
329.0,329.0,2,0
299.0,299.0,0,0
399.0,599.0,3,2
299.0,329.0,2,0
270.0,360.0,3,0
269.0,269.0,2,2
609.0,609.0,3,3
359.0,329.0,0,0
279.0,279.0,2,0
469.0,469.0,2,2
409.0,329.0,0,0
359.0,459.0,3,0
329.0,529.0,3,0
289.0,289.0,1,0
359.0,359.0,0,2
359.0,429.0,3,2
360.0,270.0,0,3
329.0,509.0,3,0
599.0,369.0,0,3
359.0,299.0,1,0
359.0,399.0,0,0
299.0,299.0,0,0
599.0,399.0,0,3
399.0,359.0,2,0
289.0,289.0,2,1
399.0,399.0,0,0
429.0,429.0,2,1
399.0,429.0,0,2
225.0,469.0,3,2
369.0,369.0,3,0
216.0,243.0,1,0
399.0,429.0,3,0
369.0,429.0,2,0
429.0,509.0,3,0
429.0,399.0,2,0
379.0,379.0,0,0
399.0,609.0,3,0
359.0,359.0,2,2
289.0,289.0,0,0
319.0,319.0,2,0
369.0,369.0,0,2
429.0,469.0,0,3
399.0,399.0,3,3
385.66,559.0,3,2
349.0,369.0,0,2
399.0,429.0,0,1
549.0,339.0,2,3
429.0,509.0,3,0
429.0,429.0,2,0
299.0,279.0,0,0
399.0,439.0,3,0
469.0,429.0,2,0
419.0,359.0,0,0
449.0,449.0,2,0
199.0,199.0,3,3
449.0,449.0,2,2
249.0,249.0,0,0
333.0,306.0,0,3
319.0,359.0,0,2
429.0,429.0,2,0
359.0,359.0,0,2
329.0,369.0,0,0
399.0,439.0,0,2
360.0,477.0,3,0
629.0,429.0,2,3
409.0,329.0,0,0
489.0,539.0,3,0
449.0,539.0,3,1
569.0,409.0,0,3
359.0,329.0,1,0
399.0,499.0,3,0
529.0,629.0,3,3
299.0,679.0,3,2
299.0,339.0,0,0
409.0,419.0,0,2
499.0,369.0,1,3
309.0,279.0,2,0
329.0,489.0,3,0
429.0,429.0,1,0
399.0,399.0,2,2
279.0,449.0,3,0
469.0,469.0,2,3
289.0,269.0,0,2
449.0,449.0,1,0
299.0,299.0,2,0
439.0,499.0,3,0
324.0,297.0,0,2
669.0,509.0,0,3
289.0,319.0,2,0
429.0,529.0,3,0
439.0,439.0,0,0
279.0,299.0,2,0
399.0,609.0,3,1
309.0,489.0,3,2
339.0,509.0,3,0
399.0,609.0,3,0
333.0,306.0,0,3
429.0,429.0,2,2
329.0,369.0,0,0
399.0,529.0,3,0
324.0,297.0,1,0
299.0,269.0,2,1
396.0,387.0,1,2
429.0,429.0,0,0
429.0,629.0,3,0
379.0,379.0,2,0
329.0,479.0,3,3
429.0,429.0,2,2
329.0,359.0,2,1
477.0,387.0,2,3
297.0,333.0,0,0
429.0,429.0,2,1
59.0,429.0,1,0
369.0,499.0,3,3
329.0,459.0,3,0
379.0,379.0,0,0
399.0,359.0,2,0
299.0,299.0,2,0
449.0,649.0,3,2
399.0,599.0,3,1
270.0,243.0,0,2
389.0,419.0,0,0
369.0,399.0,3,0
270.0,270.0,0,2
329.0,329.0,2,1
429.0,429.0,0,3
339.0,339.0,0,0
399.0,429.0,0,2
369.0,369.0,1,2
409.0,399.0,0,2
289.0,359.0,3,0
399.0,439.0,0,0
289.0,289.0,2,0
269.0,239.0,0,0
259.0,359.0,3,2
549.0,379.0,0,3
419.0,459.0,3,0
399.0,399.0,2,2
369.0,369.0,0,0
289.0,289.0,1,2
324.0,324.0,2,0
399.0,439.0,0,1
609.0,399.0,2,3
399.0,399.0,2,0
289.0,289.0,2,2
200.0,200.0,2,2
404.0,299.0,1,0
349.0,299.0,0,2
349.0,349.0,2,0
319.0,329.0,2,0
259.0,319.0,1,0
439.0,439.0,0,0
459.0,559.0,3,3
289.0,369.0,3,0
299.0,329.0,2,0
299.0,299.0,2,2
329.0,439.0,2,0
449.0,449.0,2,2
339.0,339.0,1,0
359.0,429.0,0,0
379.0,379.0,0,1
299.0,349.0,0,1
319.0,319.0,0,2
429.0,429.0,2,2
340.2,423.0,0,0
270.0,360.0,3,0
389.0,359.0,0,0
299.0,299.0,0,0
549.0,549.0,0,0
299.0,299.0,1,2
429.0,359.0,0,3
239.0,269.0,1,0
289.0,459.0,3,0
489.0,319.0,2,3
269.0,269.0,1,0
309.0,479.0,3,2
243.0,270.0,2,0
299.0,339.0,0,2
349.0,519.0,3,2
629.0,469.0,0,3
269.0,269.0,0,0
349.0,349.0,0,2
319.0,319.0,2,2
429.0,629.0,3,0
369.0,329.0,2,0
259.0,289.0,1,2
339.0,339.0,1,1
351.0,659.0,3,0
529.0,429.0,1,3
409.0,409.0,0,2
339.0,339.0,2,0
389.0,389.0,0,0
324.0,297.0,0,0
429.0,509.0,3,0
429.0,429.0,0,0
319.0,389.0,3,0
329.0,409.0,1,3
399.0,439.0,2,0
399.0,509.0,3,2
459.0,639.0,3,0
349.0,379.0,0,2
349.0,379.0,0,0
279.0,479.0,3,0
339.0,299.0,2,0
429.0,629.0,3,0
387.0,387.0,0,2
509.0,429.0,0,3
359.0,359.0,0,0
429.0,459.0,0,2
399.0,399.0,2,2
405.0,612.0,3,2
429.0,429.0,2,0
339.0,269.0,1,0
399.0,399.0,1,2
269.0,329.0,0,0
329.0,329.0,2,2
273.0,469.0,3,2
349.0,329.0,0,2
369.0,369.0,1,1
399.0,429.0,0,0
429.0,429.0,2,0
399.0,399.0,0,0
489.0,429.0,2,0
399.0,399.0,0,0
269.0,269.0,2,0
319.0,289.0,0,2
269.0,299.0,0,1
324.0,297.0,0,0
340.2,360.0,0,0
289.0,359.0,3,0
429.0,609.0,3,0
385.66,459.0,3,2
389.0,379.0,1,0
399.0,429.0,0,2
360.0,396.0,0,0
323.0,339.0,0,2
329.0,299.0,0,2
429.0,539.0,3,2
419.0,559.0,3,0
429.0,429.0,2,2
399.0,509.0,3,0
349.0,379.0,0,2
329.0,299.0,0,0
359.0,389.0,2,0
299.0,319.0,0,1
309.0,489.0,3,0
329.0,319.0,1,0
269.0,269.0,2,0
329.0,359.0,0,2
629.0,529.0,3,3
409.0,589.0,3,0
477.0,387.0,1,3
359.0,329.0,1,0
399.0,399.0,2,0
429.0,429.0,0,0
299.0,299.0,1,2
469.0,529.0,3,0
309.0,309.0,2,2
425.66,399.0,2,0
399.0,399.0,0,0
319.0,349.0,0,2
216.0,243.0,1,0
399.0,399.0,1,2
299.0,299.0,1,0
270.0,306.0,0,2
329.0,299.0,1,2
299.0,549.0,3,0
299.0,629.0,3,0
329.0,359.0,2,1
329.0,599.0,3,0
309.0,309.0,0,0
357.75,423.0,3,0
329.0,329.0,0,0
329.0,329.0,0,0
399.0,399.0,1,1
409.0,409.0,0,0
399.0,429.0,3,0
459.0,459.0,0,0
329.0,289.0,1,0
429.0,399.0,2,0
369.0,369.0,2,1
289.0,329.0,0,2
329.0,499.0,3,0
369.0,539.0,3,0
259.0,399.0,0,2
389.0,419.0,0,0
289.0,289.0,0,0
549.0,549.0,3,3
384.0,269.0,0,0
405.0,612.0,3,0
269.0,269.0,0,0
399.0,429.0,0,0
289.0,459.0,3,2
359.0,329.0,0,0
349.0,349.0,2,2
469.0,469.0,3,3
349.0,319.0,2,0
449.0,449.0,2,0
359.0,389.0,2,0
329.0,359.0,0,0
297.0,297.0,1,0
489.0,539.0,3,0
299.0,399.0,2,2
429.0,429.0,2,2
299.0,539.0,3,0
399.0,459.0,3,0
299.0,649.0,3,0
369.0,369.0,2,2
459.0,459.0,2,1
399.0,359.0,2,0
299.0,299.0,2,2
469.0,429.0,1,0
279.0,339.0,0,0
399.0,429.0,3,0
299.0,339.0,0,2
399.0,499.0,3,1
309.0,329.0,2,0
333.0,423.0,3,3
369.0,369.0,2,2
399.0,429.0,0,0
519.0,399.0,2,0
405.0,405.0,1,0
297.0,324.0,2,0
399.0,439.0,0,0
309.0,349.0,0,0
289.0,289.0,0,0
469.0,469.0,0,0
399.0,609.0,3,0
243.0,333.0,3,1
429.0,429.0,0,0
399.0,629.0,3,0
429.0,429.0,3,3
399.0,679.0,3,2
549.0,599.0,3,0
269.0,339.0,3,0
549.0,399.0,1,0
299.0,299.0,1,2
269.0,369.0,3,0
329.0,329.0,1,1
399.0,399.0,0,0
329.0,299.0,1,0
319.0,359.0,0,0
357.75,243.0,0,0
469.0,429.0,1,0
369.0,329.0,0,0
489.0,489.0,3,3
359.0,359.0,0,0
319.0,249.0,1,0
309.0,299.0,0,0
439.0,439.0,0,0
429.0,659.0,3,0
429.0,629.0,3,0
429.0,429.0,2,0
439.0,439.0,0,0
429.0,459.0,0,2
243.0,297.0,0,0
519.0,419.0,3,3
269.0,269.0,0,0
359.0,429.0,3,0
389.0,379.0,2,1
399.0,609.0,3,0
360.0,333.0,0,2
399.0,429.0,0,0
329.0,329.0,0,0
404.0,299.0,2,0
299.0,469.0,3,2
569.0,449.0,3,3
429.0,429.0,1,0
469.0,429.0,2,0
469.0,429.0,0,0
329.0,289.0,0,0
429.0,429.0,2,2
399.0,439.0,0,3
299.0,279.0,0,0
359.0,359.0,2,1
469.0,629.0,3,0
269.0,469.0,3,0
329.0,329.0,0,0
269.0,339.0,0,0
429.0,429.0,0,0
519.0,399.0,2,0
449.0,399.0,0,3
429.0,429.0,1,2
259.0,359.0,3,2
429.0,429.0,0,0
439.0,499.0,3,0
297.0,477.0,3,0
549.0,379.0,1,3
399.0,399.0,2,0
479.0,479.0,3,3
261.0,261.0,0,2
379.0,379.0,2,1
399.0,399.0,2,2
429.0,469.0,0,0
259.0,429.0,0,3
359.0,329.0,0,1
399.0,609.0,3,1
409.0,329.0,1,0
396.0,387.0,0,2
329.0,329.0,2,2
419.0,449.0,0,2
249.0,249.0,0,0
369.0,369.0,0,3
299.0,479.0,3,2
349.0,349.0,2,2
489.0,309.0,2,0
259.0,459.0,3,2
449.0,449.0,2,1
149.5,149.5,0,0
379.0,379.0,1,2
359.0,319.0,2,0
351.0,439.0,2,0
289.0,469.0,3,0
243.0,423.0,3,1
369.0,329.0,2,0
469.0,439.0,2,0
329.0,369.0,0,0
339.0,349.0,1,0
469.0,529.0,3,0
429.0,469.0,0,2
261.0,297.0,0,2
324.0,477.0,3,2
369.0,499.0,3,0
309.0,429.0,0,2
324.0,297.0,0,2
379.0,419.0,3,0
529.0,469.0,0,3
389.0,449.0,3,1
539.0,649.0,3,3
399.0,439.0,0,0
429.0,429.0,2,2
309.0,509.0,3,2
429.0,469.0,0,0
529.0,609.0,3,3
389.0,389.0,2,0
329.0,329.0,0,0
469.0,469.0,0,0
385.66,359.0,1,2
359.0,429.0,0,0
409.0,549.0,3,0
359.0,529.0,3,0
292.33,309.0,0,0
529.0,329.0,0,3
529.0,469.0,0,3
429.0,469.0,0,2
59.0,429.0,2,0
429.0,429.0,0,0
449.0,399.0,0,3
399.0,439.0,0,0
359.0,329.0,0,0
229.0,429.0,3,0
379.0,379.0,1,1
379.0,449.0,3,1
409.0,409.0,2,2
399.0,599.0,3,2
409.0,459.0,3,0
399.0,399.0,2,2
369.0,369.0,0,0
299.0,299.0,0,2
349.0,549.0,3,0
297.0,270.0,0,0
429.0,429.0,0,0
329.0,329.0,1,0
269.0,329.0,0,0
269.0,329.0,0,0
297.0,324.0,2,0
449.0,439.0,0,3
359.0,359.0,2,2
259.0,399.0,0,0
399.0,399.0,2,0
369.0,369.0,1,2
299.0,369.0,3,2
249.0,279.0,1,0
324.0,387.0,3,2
299.0,299.0,0,0
360.0,396.0,2,0
369.0,329.0,1,0
299.0,299.0,2,2
339.0,369.0,0,0
229.0,259.0,2,1
429.0,429.0,0,0
549.0,439.0,0,0
309.0,379.0,1,0
369.0,329.0,0,0
379.0,379.0,0,0
429.0,429.0,1,1
399.0,479.0,0,2
299.0,299.0,0,2
429.0,429.0,2,2
349.0,299.0,1,2
399.0,399.0,2,0
359.0,329.0,0,0
399.0,399.0,0,0
429.0,399.0,2,0
429.0,629.0,3,2
289.0,289.0,2,0
429.0,429.0,0,2
339.0,339.0,3,0
269.0,269.0,0,0
399.0,399.0,1,0
419.0,559.0,3,0
269.0,239.0,0,0
379.0,379.0,2,2
259.0,329.0,1,3
299.0,469.0,3,0
529.0,529.0,3,3
319.0,489.0,3,2
297.0,360.0,3,2
333.0,297.0,1,0
399.0,399.0,1,1
289.0,289.0,2,0
429.0,399.0,2,0
329.0,349.0,2,0
299.0,499.0,3,0
360.0,450.0,3,3
249.0,339.0,0,3
379.0,409.0,0,0
269.0,269.0,0,0
359.0,399.0,0,0
359.0,359.0,0,0
389.0,319.0,2,3
399.0,429.0,0,2
273.0,299.0,0,2
299.0,269.0,1,0
359.0,359.0,2,1
399.0,399.0,2,0
349.0,349.0,3,3
399.0,529.0,3,0
339.0,299.0,2,0
261.0,297.0,0,2
299.0,299.0,0,0
329.0,329.0,2,0
399.0,439.0,0,0
399.0,399.0,0,2
243.0,216.0,0,2
379.0,379.0,2,0
419.0,419.0,0,0
297.0,297.0,2,2
333.0,297.0,2,0
369.0,369.0,0,0
299.0,449.0,3,0
499.0,669.0,3,0
297.0,297.0,0,2
359.0,359.0,0,0
299.0,299.0,2,1
469.0,469.0,0,0
299.0,299.0,1,0
289.0,329.0,0,2
270.0,333.0,3,2
459.0,429.0,2,0
99.0,309.0,0,2
243.0,243.0,0,0
389.0,389.0,2,1
469.0,429.0,2,0
559.0,459.0,2,3
489.0,389.0,3,0
499.0,669.0,3,0
399.0,399.0,2,2
399.0,359.0,2,0
409.0,379.0,0,0
429.0,429.0,2,2
369.0,299.0,1,0
379.0,379.0,1,1
319.0,489.0,3,1
439.0,439.0,0,0
299.0,329.0,1,1
599.0,399.0,1,3
399.0,399.0,1,0
289.0,319.0,1,0
469.0,369.0,3,3
309.0,309.0,2,2
499.0,599.0,3,3
449.0,379.0,2,0
299.0,269.0,2,0
399.0,429.0,0,0
469.0,469.0,0,0
459.0,359.0,2,3
489.0,539.0,3,0
289.0,289.0,0,0
399.0,399.0,2,2
399.0,599.0,3,0
324.0,324.0,2,2
629.0,429.0,2,3
405.0,522.0,3,0
324.0,324.0,0,2
299.0,429.0,1,0
261.0,297.0,0,2
319.0,349.0,0,0
479.0,339.0,0,0
289.0,329.0,0,2
629.0,429.0,2,3
399.0,429.0,0,3
519.0,379.0,0,3
297.0,387.0,3,0
399.0,429.0,0,0
299.0,299.0,2,2
449.0,489.0,0,2
429.0,429.0,0,1
149.5,479.0,3,0
359.0,489.0,3,0
399.0,609.0,3,0
449.0,489.0,0,1
369.0,299.0,0,3
319.0,289.0,0,0
387.0,477.0,3,2
269.0,469.0,3,0
429.0,429.0,2,0
359.0,559.0,3,0
609.0,429.0,0,3
329.0,299.0,0,0
399.0,399.0,0,1
399.0,329.0,0,0
309.0,379.0,2,0
399.0,499.0,3,0
429.0,399.0,0,2
399.0,629.0,3,0
369.0,399.0,0,2
439.0,409.0,2,0
429.0,529.0,3,0
429.0,429.0,2,0
399.0,509.0,3,1
499.0,399.0,3,3
329.0,399.0,3,0
349.0,299.0,0,2
469.0,529.0,3,0
419.0,419.0,0,0
469.0,529.0,3,0
379.0,429.0,0,0
369.0,369.0,2,2
439.0,499.0,3,0
299.0,469.0,0,0
389.0,389.0,2,0
299.0,299.0,0,0
399.0,529.0,3,0
429.0,399.0,0,0
349.0,349.0,0,2
629.0,429.0,0,3
256.75,429.0,2,0
429.0,469.0,0,2
329.0,369.0,0,2
333.0,450.0,3,0
339.0,339.0,2,2
559.0,389.0,0,3
404.0,404.0,0,0
429.0,429.0,0,0
349.0,379.0,0,2
387.0,387.0,2,2
359.0,329.0,0,0
359.0,329.0,1,2
549.0,549.0,3,3
449.0,449.0,2,1
405.0,405.0,0,0
379.0,379.0,0,0
359.0,289.0,0,0
289.0,289.0,2,0
477.0,387.0,0,3
489.0,489.0,0,0
339.0,339.0,0,0
469.0,299.0,1,0
349.0,379.0,1,1
549.0,379.0,0,3
309.0,329.0,1,0
404.0,379.0,0,1
399.0,509.0,3,2
324.0,297.0,1,2
429.0,529.0,3,1
429.0,429.0,2,2
459.0,539.0,3,0
289.0,459.0,3,2
396.0,360.0,0,2
309.0,289.0,0,0
269.0,269.0,1,0
499.0,499.0,0,0
339.0,339.0,0,1
297.0,297.0,2,2
269.0,369.0,3,3
273.0,329.0,0,2
429.0,469.0,0,0
409.0,359.0,1,2
499.0,569.0,3,0
289.0,459.0,3,0
289.0,289.0,0,2
389.0,409.0,0,1
499.0,499.0,0,0
297.0,270.0,0,2
299.0,469.0,3,2
259.0,289.0,0,0
369.0,499.0,3,0
333.0,270.0,0,0
337.0,509.0,3,3
379.0,449.0,3,0
489.0,489.0,0,0
299.0,299.0,2,0
389.0,419.0,0,0
519.0,519.0,0,0
429.0,529.0,3,2
337.0,399.0,2,3
429.0,509.0,3,0
299.0,339.0,0,2
269.0,289.0,2,1
429.0,609.0,3,0
399.0,399.0,2,2
379.0,409.0,0,0
269.0,389.0,3,0
449.0,429.0,2,0
387.0,423.0,0,2
329.0,269.0,0,2
399.0,399.0,2,0
269.0,239.0,0,0
329.0,329.0,1,0
216.0,243.0,1,0
289.0,329.0,0,0
359.0,359.0,0,0
289.0,289.0,2,2
629.0,529.0,3,3
289.0,369.0,3,2
419.0,459.0,3,0
499.0,569.0,3,0
477.0,477.0,3,3
289.0,289.0,0,2
469.0,439.0,2,0
360.0,387.0,2,0
469.0,429.0,0,0
329.0,299.0,1,2
289.0,489.0,3,0
396.0,477.0,3,2
499.0,329.0,1,3
399.0,429.0,2,0
299.0,369.0,0,3
469.0,629.0,3,0
349.0,419.0,3,0
459.0,459.0,1,2
369.0,599.0,3,0
369.0,469.0,3,0
297.0,477.0,3,0
469.0,339.0,0,3
459.0,459.0,2,2
409.0,439.0,0,2
369.0,329.0,1,0
59.0,529.0,3,0
319.0,319.0,1,2
243.0,333.0,0,0
360.0,387.0,1,1
299.0,599.0,3,2
369.0,369.0,2,0
329.0,289.0,0,0
429.0,459.0,2,0
369.0,399.0,0,1
243.0,261.0,2,1
509.0,509.0,3,3
399.0,599.0,3,2
329.0,329.0,2,0
405.0,405.0,2,0
379.0,399.0,0,2
449.0,649.0,3,2
299.0,299.0,0,0
449.0,449.0,2,2
309.0,309.0,1,2
399.0,439.0,0,0
329.0,329.0,1,0
273.0,269.0,1,2
429.0,469.0,0,0
329.0,329.0,2,0
469.0,299.0,0,3
429.0,509.0,3,0
339.0,299.0,0,0
399.0,349.0,2,0
339.0,369.0,0,2
469.0,459.0,0,2
297.0,297.0,0,0
259.0,359.0,2,0
399.0,399.0,2,2
99.0,509.0,3,2
279.0,299.0,0,0
329.0,329.0,2,0
329.0,299.0,0,0
529.0,529.0,3,3
399.0,399.0,0,0
396.0,567.0,3,2
216.0,306.0,3,0
297.0,324.0,2,0
329.0,399.0,0,1
549.0,549.0,3,3
429.0,529.0,3,0
324.0,387.0,3,2
315.0,342.0,0,0
339.0,339.0,0,0
439.0,599.0,3,0
399.0,529.0,3,0
299.0,479.0,0,2
529.0,629.0,3,3
399.0,499.0,3,1
569.0,379.0,0,3
389.0,419.0,0,1
389.0,379.0,1,1
429.0,429.0,2,2
389.0,389.0,2,2
299.0,299.0,3,3
329.0,429.0,3,0
289.0,289.0,0,2
299.0,349.0,2,1
243.0,450.0,3,0
439.0,599.0,3,0
469.0,629.0,3,0
529.0,529.0,3,3
259.0,289.0,0,2
269.0,269.0,2,0
299.0,379.0,3,0
324.0,324.0,1,2
396.0,360.0,1,2
259.0,609.0,3,2
459.0,459.0,2,2
399.0,399.0,1,0
339.0,469.0,3,0
349.0,349.0,0,0
299.0,399.0,2,3
404.0,404.0,2,2
243.0,270.0,1,0
269.0,299.0,0,0
499.0,569.0,3,0
269.0,269.0,0,0
489.0,319.0,1,3
364.0,529.0,3,0
269.0,299.0,1,1
337.0,429.0,0,3
239.0,269.0,0,0
349.0,419.0,3,2
469.0,629.0,3,0
429.0,429.0,2,2
429.0,429.0,0,2
369.0,369.0,2,0
489.0,429.0,2,0
389.0,389.0,3,3
459.0,429.0,2,0
269.0,269.0,0,0
339.0,369.0,3,0
459.0,459.0,0,0
329.0,329.0,1,0
349.0,379.0,2,3
399.0,609.0,3,2
499.0,499.0,0,0
297.0,270.0,0,2
299.0,339.0,0,0
269.0,299.0,0,0
459.0,639.0,3,0
299.0,339.0,0,1
399.0,399.0,0,0
329.0,329.0,2,0
429.0,629.0,3,0
289.0,469.0,3,2
379.0,519.0,3,0
299.0,469.0,3,0
469.0,529.0,3,0
297.0,297.0,1,2
289.0,289.0,2,0
329.0,329.0,0,2
439.0,409.0,2,1
399.0,429.0,0,2
299.0,299.0,1,2
279.0,309.0,0,0
